pair_id,cell_id,run_id,train_seed,eval_seed,arm_id,arm_mode,family,success,final_distance,first_action_mse,total_reward,steps
22:1016,22:1016:shuffle,language-alpha2-seed-22,22,1016,shuffle,shuffle,reach_blue_right,0,0.3867458403110504,0.019006498157978058,-15.566217988729477,40
22:1017,22:1017:shuffle,language-alpha2-seed-22,22,1017,shuffle,shuffle,reach_blue_right,0,0.2969367504119873,0.03134347125887871,-11.864307135343552,40
22:1018,22:1018:shuffle,language-alpha2-seed-22,22,1018,shuffle,shuffle,reach_green_top,0,0.6118786931037903,0.14570745825767517,-24.10564923286438,40
22:1019,22:1019:shuffle,language-alpha2-seed-22,22,1019,shuffle,shuffle,reach_green_top,0,0.23114576935768127,0.011341027915477753,-9.357428848743439,40
22:1020,22:1020:shuffle,language-alpha2-seed-22,22,1020,shuffle,shuffle,reach_red_left,1,0.032010313123464584,0.00051878672093153,-0.20797894522547722,2
22:1021,22:1021:shuffle,language-alpha2-seed-22,22,1021,shuffle,shuffle,reach_red_left,0,0.5220153331756592,0.03253897652029991,-20.126430839300156,40
22:1022,22:1022:shuffle,language-alpha2-seed-22,22,1022,shuffle,shuffle,reach_blue_right,0,0.38674578070640564,0.019633274525403976,-15.599887907505035,40
22:1023,22:1023:shuffle,language-alpha2-seed-22,22,1023,shuffle,shuffle,reach_blue_right,0,0.2969367206096649,0.01874859258532524,-11.972864747047424,40
22:1000,22:1000:counterfactual,language-alpha2-seed-22,22,1000,counterfactual,counterfactual,reach_green_top,0,0.23114576935768127,0.012640207074582577,-9.302753761410713,40
22:1001,22:1001:counterfactual,language-alpha2-seed-22,22,1001,counterfactual,counterfactual,reach_green_top,0,0.5861103534698486,0.025666626170277596,-23.245664477348328,40
22:1002,22:1002:counterfactual,language-alpha2-seed-22,22,1002,counterfactual,counterfactual,reach_red_left,0,0.3562626540660858,0.018597006797790527,-14.13845807313919,40
22:1003,22:1003:counterfactual,language-alpha2-seed-22,22,1003,counterfactual,counterfactual,reach_red_left,0,0.5220153331756592,0.0339798703789711,-20.21163174510002,40
22:1004,22:1004:counterfactual,language-alpha2-seed-22,22,1004,counterfactual,counterfactual,reach_blue_right,0,0.29693666100502014,0.00669211708009243,-12.076174914836884,40
22:1005,22:1005:counterfactual,language-alpha2-seed-22,22,1005,counterfactual,counterfactual,reach_blue_right,0,0.8500043153762817,0.2443966120481491,-33.835128247737885,40
22:1006,22:1006:counterfactual,language-alpha2-seed-22,22,1006,counterfactual,counterfactual,reach_green_top,0,0.23114575445652008,0.013825695030391216,-9.313642427325249,40
22:1007,22:1007:counterfactual,language-alpha2-seed-22,22,1007,counterfactual,counterfactual,reach_green_top,0,0.586110532283783,0.06822553277015686,-23.23081037402153,40
22:1008,22:1008:counterfactual,language-alpha2-seed-22,22,1008,counterfactual,counterfactual,reach_red_left,0,0.3562626838684082,0.030027298256754875,-14.126713514328003,40
